"parts"	"mor"
"名詞"	"うらなり"
"名詞"	"君"
"助詞"	"の"
"名詞"	"送別"
"名詞"	"会"
"助詞"	"の"
"動詞"	"ある"
"助詞"	"という"
"名詞"	"日"
"助詞"	"の"
"名詞"	"朝"
"記号"	"、"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"出る"
"助動詞"	"た"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"が"
"副詞"	"突然"
"記号"	"、"
"名詞"	"君"
"名詞"	"先だって"
"助詞"	"は"
"副詞"	"いか"
"名詞"	"銀"
"助詞"	"が"
"動詞"	"来る"
"助詞"	"て"
"記号"	"、"
"名詞"	"君"
"助詞"	"が"
"名詞"	"乱暴"
"動詞"	"する"
"助詞"	"て"
"動詞"	"困る"
"助詞"	"から"
"記号"	"、"
"副詞"	"どうか"
"動詞"	"出る"
"名詞"	"よう"
"助詞"	"に"
"動詞"	"話す"
"助詞"	"て"
"動詞"	"くれる"
"助詞"	"と"
"動詞"	"頼む"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"真面目"
"助詞"	"に"
"動詞"	"受ける"
"助詞"	"て"
"記号"	"、"
"名詞"	"君"
"助詞"	"に"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"やる"
"助詞"	"と"
"動詞"	"話す"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"名詞"	"あと"
"助詞"	"から"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"記号"	"、"
"名詞"	"あいつ"
"助詞"	"は"
"接頭詞"	"悪"
"名詞"	"るい"
"名詞"	"奴"
"助詞"	"で"
"記号"	"、"
"副詞"	"よく"
"名詞"	"偽筆"
"助詞"	"へ"
"名詞"	"贋"
"名詞"	"落款"
"助詞"	"など"
"助詞"	"を"
"動詞"	"押す"
"助詞"	"て"
"動詞"	"売りつける"
"名詞"	"そう"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"全区"
"名詞"	"君"
"助詞"	"の"
"名詞"	"事"
"助詞"	"も"
"名詞"	"出鱈目"
"助詞"	"に"
"名詞"	"違い"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"君"
"助詞"	"に"
"動詞"	"懸る"
"名詞"	"物"
"助詞"	"や"
"名詞"	"骨董"
"助詞"	"を"
"動詞"	"売りつける"
"助詞"	"て"
"記号"	"、"
"名詞"	"商売"
"助詞"	"に"
"動詞"	"する"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"動詞"	"てる"
"助動詞"	"た"
"接続詞"	"ところが"
"記号"	"、"
"名詞"	"君"
"助詞"	"が"
"動詞"	"取り合う"
"助動詞"	"ない"
"助詞"	"で"
"名詞"	"儲け"
"助詞"	"が"
"形容詞"	"ない"
"名詞"	"もの"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"連体詞"	"あんな"
"名詞"	"作りごと"
"助詞"	"を"
"動詞"	"こしらえる"
"助詞"	"て"
"名詞"	"胡"
"名詞"	"魔"
"名詞"	"化"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"僕"
"助詞"	"は"
"連体詞"	"あの"
"名詞"	"人物"
"助詞"	"を"
"動詞"	"知る"
"助動詞"	"ない"
"助動詞"	"た"
"助詞"	"ので"
"名詞"	"君"
"助詞"	"に"
"名詞"	"大変"
"名詞"	"失敬"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"勘弁"
"動詞"	"する"
"助動詞"	"た"
"フィラー"	"ま"
"フィラー"	"えと"
"副詞"	"長々"
"動詞"	"しいる"
"名詞"	"謝罪"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"何"
"助詞"	"と"
"助詞"	"も"
"動詞"	"云う"
"助動詞"	"ぬ"
"助詞"	"に"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"の"
"名詞"	"机"
"助詞"	"の"
"名詞"	"上"
"助詞"	"に"
"動詞"	"ある"
"助動詞"	"た"
"記号"	"、"
"名詞"	"一銭五厘"
"助詞"	"を"
"動詞"	"とる"
"助詞"	"て"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"蝦蟇口"
"助詞"	"の"
"名詞"	"なか"
"助詞"	"へ"
"動詞"	"入れる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"山嵐"
"助詞"	"は"
"名詞"	"君"
"名詞"	"それ"
"助詞"	"を"
"動詞"	"引き込める"
"名詞"	"の"
"助詞"	"か"
"助詞"	"と"
"名詞"	"不審"
"名詞"	"そう"
"助詞"	"に"
"動詞"	"聞く"
"助詞"	"から"
"記号"	"、"
"感動詞"	"うん"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"君"
"助詞"	"に"
"動詞"	"奢る"
"動詞"	"れる"
"名詞"	"の"
"助詞"	"が"
"記号"	"、"
"名詞"	"いや"
"助動詞"	"だ"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"是非"
"動詞"	"返す"
"名詞"	"つもり"
"助詞"	"で"
"動詞"	"いる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"その後"
"副詞"	"だんだん"
"動詞"	"考える"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"記号"	"、"
"副詞"	"やっぱり"
"動詞"	"奢る"
"助詞"	"て"
"動詞"	"もらう"
"名詞"	"方"
"助詞"	"が"
"形容詞"	"いい"
"名詞"	"よう"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"動詞"	"引き込む"
"動詞"	"す"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"と"
"名詞"	"説明"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"山嵐"
"助詞"	"は"
"連体詞"	"大きな"
"名詞"	"声"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"名詞"	"アハハハ"
"助詞"	"と"
"動詞"	"笑う"
"助詞"	"ながら"
"記号"	"、"
"名詞"	"そん"
"助動詞"	"だ"
"記号"	"、"
"副詞"	"なぜ"
"形容詞"	"早い"
"動詞"	"取る"
"助動詞"	"ない"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"聞く"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"実は"
"動詞"	"取る"
"助動詞"	"う"
"動詞"	"取る"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"動詞"	"てる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"副詞"	"何だか"
"名詞"	"妙"
"助動詞"	"だ"
"助詞"	"から"
"副詞"	"そのまま"
"助詞"	"に"
"動詞"	"する"
"助詞"	"て"
"動詞"	"おく"
"助動詞"	"た"
"記号"	"。"
"名詞"	"近来"
"助詞"	"は"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"来る"
"助詞"	"て"
"名詞"	"一銭五厘"
"助詞"	"を"
"動詞"	"見る"
"名詞"	"の"
"助詞"	"が"
"名詞"	"苦"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"くらい"
"名詞"	"いや"
"助動詞"	"だ"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"君"
"助詞"	"は"
"副詞"	"よっぽど"
"名詞"	"負け惜しみ"
"助詞"	"の"
"形容詞"	"強い"
"名詞"	"男"
"助動詞"	"だ"
"助詞"	"と"
