"parts"	"mor"
"名詞"	"学校"
"助詞"	"に"
"助詞"	"は"
"名詞"	"宿直"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"て"
"記号"	"、"
"名詞"	"職員"
"助詞"	"が"
"副詞"	"代る代る"
"名詞"	"これ"
"助詞"	"を"
"動詞"	"つとめる"
"記号"	"。"
"接続詞"	"但し"
"名詞"	"狸"
"助詞"	"と"
"名詞"	"赤シャツ"
"助詞"	"は"
"名詞"	"例外"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"副詞"	"何で"
"連体詞"	"この"
"名詞"	"両人"
"助詞"	"が"
"副詞"	"当然"
"助詞"	"の"
"名詞"	"義務"
"助詞"	"を"
"名詞"	"免"
"動詞"	"かれる"
"名詞"	"の"
"助詞"	"か"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"記号"	"、"
"名詞"	"奏"
"名詞"	"任"
"名詞"	"待遇"
"助動詞"	"だ"
"助詞"	"から"
"助詞"	"と"
"動詞"	"云う"
"記号"	"。"
"形容詞"	"面白い"
"助詞"	"も"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"月給"
"助詞"	"は"
"名詞"	"たくさん"
"動詞"	"とる"
"記号"	"、"
"名詞"	"時間"
"助詞"	"は"
"形容詞"	"少ない"
"記号"	"、"
"名詞"	"それ"
"助詞"	"で"
"名詞"	"宿直"
"助詞"	"を"
"名詞"	"逃"
"助詞"	"が"
"動詞"	"れる"
"助詞"	"なんて"
"名詞"	"不公平"
"助詞"	"が"
"動詞"	"ある"
"名詞"	"もの"
"助詞"	"か"
"記号"	"。"
"名詞"	"勝手"
"助動詞"	"だ"
"名詞"	"規則"
"助詞"	"を"
"動詞"	"こしらえる"
"助詞"	"て"
"記号"	"、"
"名詞"	"それ"
"助詞"	"が"
"名詞"	"当り前"
"助動詞"	"だ"
"助詞"	"という"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"副詞"	"よく"
"副詞"	"まあ"
"副詞"	"あんなに"
"形容詞"	"ずうずうしい"
"動詞"	"出来る"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"これ"
"助詞"	"について"
"助詞"	"は"
"名詞"	"大分"
"名詞"	"不平"
"助動詞"	"だ"
"助動詞"	"ある"
"助詞"	"が"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"の"
"名詞"	"説"
"助詞"	"に"
"動詞"	"よる"
"助詞"	"と"
"記号"	"、"
"副詞"	"いくら"
"名詞"	"一人"
"助詞"	"で"
"名詞"	"不平"
"助詞"	"を"
"動詞"	"並べる"
"助動詞"	"た"
"助詞"	"って"
"動詞"	"通る"
"名詞"	"もの"
"助詞"	"じゃ"
"助動詞"	"ない"
"名詞"	"そうだ"
"記号"	"。"
"名詞"	"一人"
"助詞"	"だって"
"名詞"	"二人"
"助詞"	"だって"
"形容詞"	"正しい"
"名詞"	"事"
"助動詞"	"だ"
"動詞"	"通る"
"名詞"	"そう"
"助動詞"	"だ"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"山嵐"
"助詞"	"は"
"名詞"	"might"
"名詞"	"IS"
"名詞"	"right"
"助詞"	"という"
"名詞"	"英語"
"助詞"	"を"
"動詞"	"引く"
"助詞"	"て"
"名詞"	"説諭"
"助詞"	"を"
"動詞"	"加える"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"副詞"	"何だか"
"名詞"	"要領"
"助詞"	"を"
"動詞"	"得る"
"助動詞"	"ない"
"助詞"	"から"
"記号"	"、"
"動詞"	"聞き返す"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"名詞"	"強者"
"助詞"	"の"
"名詞"	"権利"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"意味"
"助動詞"	"だ"
"名詞"	"そうだ"
"記号"	"。"
"名詞"	"強者"
"助詞"	"の"
"名詞"	"権利"
"助詞"	"ぐらい"
"助動詞"	"だ"
"名詞"	"昔"
"助詞"	"から"
"動詞"	"知る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"副詞"	"今さら"
"名詞"	"山嵐"
"助詞"	"から"
"名詞"	"講釈"
"助詞"	"を"
"動詞"	"きく"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"いい"
"記号"	"。"
"名詞"	"強者"
"助詞"	"の"
"名詞"	"権利"
"助詞"	"と"
"名詞"	"宿直"
"助詞"	"と"
"助詞"	"は"
"接頭詞"	"別"
"名詞"	"問題"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"狸"
"助詞"	"や"
"名詞"	"赤シャツ"
"助詞"	"が"
"名詞"	"強者"
"助動詞"	"だ"
"助詞"	"なんて"
"記号"	"、"
"名詞"	"誰"
"助詞"	"が"
"名詞"	"承知"
"動詞"	"する"
"名詞"	"もの"
"助詞"	"か"
"記号"	"。"
"名詞"	"議論"
"助詞"	"は"
"名詞"	"議論"
"助詞"	"として"
"連体詞"	"この"
"名詞"	"宿直"
"助詞"	"が"
"副詞"	"いよいよ"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"番"
"助詞"	"に"
"動詞"	"廻る"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
