"parts"	"mor"
"名詞"	"祝勝会"
"助詞"	"で"
"名詞"	"学校"
"助詞"	"は"
"接頭詞"	"お"
"名詞"	"休み"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"練兵"
"名詞"	"場"
"助詞"	"で"
"名詞"	"式"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"と"
"動詞"	"いう"
"助詞"	"ので"
"記号"	"、"
"名詞"	"狸"
"助詞"	"は"
"名詞"	"生徒"
"助詞"	"を"
"名詞"	"引率"
"動詞"	"する"
"助詞"	"て"
"名詞"	"参列"
"動詞"	"する"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"は"
"動詞"	"なる"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"も"
"名詞"	"職員"
"助詞"	"の"
"名詞"	"一人"
"助詞"	"として"
"名詞"	"いっしょ"
"助詞"	"に"
"動詞"	"くっつく"
"助詞"	"て"
"動詞"	"行く"
"名詞"	"ん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"町"
"助詞"	"へ"
"動詞"	"出る"
"助詞"	"と"
"名詞"	"日の丸"
"名詞"	"だらけ"
"助詞"	"で"
"記号"	"、"
"感動詞"	"ま"
"名詞"	"ぼし"
"名詞"	"い"
"助詞"	"くらい"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"学校"
"助詞"	"の"
"名詞"	"生徒"
"助詞"	"は"
"名詞"	"八"
"名詞"	"百"
"名詞"	"人"
"助詞"	"も"
"動詞"	"ある"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"体操"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"が"
"名詞"	"隊伍"
"助詞"	"を"
"動詞"	"整える"
"助詞"	"て"
"記号"	"、"
"名詞"	"一"
"名詞"	"組"
"名詞"	"一"
"名詞"	"組"
"助詞"	"の"
"名詞"	"間"
"助詞"	"を"
"副詞"	"少し"
"助詞"	"ずつ"
"動詞"	"明ける"
"助詞"	"て"
"記号"	"、"
"名詞"	"それ"
"助詞"	"へ"
"名詞"	"職員"
"助詞"	"が"
"名詞"	"一人"
"助詞"	"か"
"名詞"	"二人"
"助詞"	"ずつ"
"名詞"	"監督"
"助詞"	"として"
"動詞"	"割り込む"
"名詞"	"仕掛け"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"仕掛"
"助詞"	"だけ"
"助詞"	"は"
"副詞"	"すこぶる"
"名詞"	"巧妙"
"助動詞"	"だ"
"名詞"	"もの"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"副詞"	"実際"
"助詞"	"は"
"副詞"	"すこぶる"
"名詞"	"不手際"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"生徒"
"助詞"	"は"
"名詞"	"小供"
"助詞"	"の"
"名詞"	"上"
"助詞"	"に"
"記号"	"、"
"名詞"	"生意気"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"規律"
"助詞"	"を"
"動詞"	"破る"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"は"
"名詞"	"生徒"
"助詞"	"の"
"名詞"	"体面"
"助詞"	"に"
"動詞"	"かかわる"
"助詞"	"と"
"動詞"	"思う"
"動詞"	"てる"
"名詞"	"奴等"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"職員"
"助詞"	"が"
"名詞"	"幾"
"名詞"	"人"
"動詞"	"ついて行く"
"助詞"	"たって"
"名詞"	"何"
"助詞"	"の"
"動詞"	"役に立つ"
"名詞"	"もん"
"助詞"	"か"
"記号"	"。"
"名詞"	"命令"
"助詞"	"も"
"動詞"	"下す"
"助動詞"	"ない"
"助詞"	"のに"
"名詞"	"勝手"
"助動詞"	"だ"
"名詞"	"軍歌"
"助詞"	"を"
"動詞"	"うたう"
"助詞"	"たり"
"記号"	"、"
"名詞"	"軍歌"
"助詞"	"を"
"動詞"	"やめる"
"助詞"	"と"
"副詞"	"ワー"
"助詞"	"と"
"名詞"	"訳"
"助詞"	"も"
"形容詞"	"ない"
