"parts"	"mor"
"名詞"	"赤シャツ"
"助詞"	"に"
"動詞"	"勧める"
"動詞"	"られる"
"助詞"	"て"
"名詞"	"釣"
"助詞"	"に"
"動詞"	"行く"
"助動詞"	"た"
"名詞"	"帰り"
"助詞"	"から"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"を"
"動詞"	"疑る"
"名詞"	"ぐり"
"動詞"	"出す"
"助動詞"	"た"
"記号"	"。"
"接頭詞"	"無"
"名詞"	"医事"
"助詞"	"を"
"名詞"	"種"
"助詞"	"に"
"名詞"	"下宿"
"助詞"	"を"
"名詞"	"出ろ"
"助詞"	"と"
"動詞"	"云う"
"動詞"	"れる"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"は"
"記号"	"、"
"副詞"	"いよいよ"
"名詞"	"不埒"
"助動詞"	"だ"
"名詞"	"奴"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"ところが"
"名詞"	"会議"
"助詞"	"の"
"名詞"	"席"
"名詞"	"出端"
"名詞"	"案"
"助詞"	"に"
"名詞"	"相違"
"動詞"	"する"
"助詞"	"て"
"名詞"	"滔々"
"助詞"	"と"
"名詞"	"生徒"
"名詞"	"厳罰"
"名詞"	"論"
"助詞"	"を"
"動詞"	"述べる"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"感動詞"	"おや"
"名詞"	"変"
"助動詞"	"だ"
"助詞"	"な"
"助詞"	"と"
"名詞"	"首"
"助詞"	"を"
"動詞"	"捩る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"萩野"
"助詞"	"の"
"名詞"	"婆さん"
"助詞"	"から"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"が"
"記号"	"、"
"名詞"	"うらなり"
"名詞"	"君"
"助詞"	"の"
"名詞"	"ため"
"助詞"	"に"
"名詞"	"赤シャツ"
"助詞"	"と"
"名詞"	"談判"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"聞く"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"は"
"記号"	"、"
"名詞"	"それ"
"助詞"	"は"
"名詞"	"感心"
"助動詞"	"だ"
"助詞"	"と"
"名詞"	"手"
"助詞"	"を"
"名詞"	"拍"
"動詞"	"く"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"この"
"名詞"	"様子"
"助詞"	"で"
"助詞"	"は"
"名詞"	"悪者"
"助詞"	"は"
"名詞"	"山嵐"
"助詞"	"じゃ"
"助動詞"	"ある"
"助動詞"	"まい"
"記号"	"、"
"名詞"	"赤シャツ"
"助詞"	"の"
"名詞"	"方"
"助詞"	"が"
"動詞"	"曲る"
"動詞"	"てる"
"助詞"	"んで"
"記号"	"、"
"接頭詞"	"好"
"名詞"	"加減"
"助動詞"	"だ"
"名詞"	"邪推"
"助詞"	"を"
"名詞"	"実しやか"
"助詞"	"に"
"記号"	"、"
"接続詞"	"しかも"
"名詞"	"遠廻し"
"助詞"	"に"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"頭"
"助詞"	"の"
"名詞"	"中"
"助詞"	"へ"
"動詞"	"浸る"
"名詞"	"見込み"
"助動詞"	"ます"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"は"
"助動詞"	"ある"
"助動詞"	"まい"
"助詞"	"か"
"助詞"	"と"
"動詞"	"迷う"
"動詞"	"てる"
"名詞"	"矢先"
"助詞"	"へ"
"記号"	"、"
"名詞"	"野芹"
"名詞"	"川"
"助詞"	"の"
"名詞"	"土手"
"助詞"	"で"
"記号"	"、"
"名詞"	"マドンナ"
"助詞"	"を"
"動詞"	"連れる"
"助詞"	"て"
"名詞"	"散歩"
"助詞"	"なんか"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"名詞"	"姿"
"助詞"	"を"
"動詞"	"見る"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"それ"
"名詞"	"以来"
"名詞"	"赤シャツ"
"助詞"	"は"
"名詞"	"曲者"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"極める"
"助詞"	"て"
"動詞"	"しまう"
"助動詞"	"た"
"記号"	"。"
"名詞"	"曲者"
"助動詞"	"だ"
"助詞"	"か"
"名詞"	"何"
"助動詞"	"だ"
"名詞"	"寡欲"
"助詞"	"は"
"動詞"	"分る"
"助動詞"	"ない"
"助詞"	"が"
"記号"	"、"
"副詞"	"ともかく"
"助詞"	"も"
