"parts"	"mor"
"副詞"	"いよいよ"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"出る"
"助動詞"	"た"
"記号"	"。"
"副詞"	"初めて"
"名詞"	"教場"
"助詞"	"へ"
"動詞"	"はいる"
"助詞"	"て"
"名詞"	"高位"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"乗る"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"は"
"記号"	"、"
"副詞"	"何だか"
"名詞"	"変"
"助動詞"	"だ"
"助動詞"	"た"
"記号"	"。"
"名詞"	"講釈"
"助詞"	"を"
"動詞"	"する"
"助詞"	"ながら"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"でも"
"名詞"	"先生"
"助詞"	"が"
"動詞"	"勤まる"
"名詞"	"の"
"助詞"	"か"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"生徒"
"助詞"	"は"
"形容詞"	"やかましい"
"記号"	"。"
"副詞"	"時々"
"動詞"	"図抜ける"
"助動詞"	"た"
"連体詞"	"大きな"
"名詞"	"声"
"助詞"	"で"
"名詞"	"先生"
"助詞"	"と"
"動詞"	"云う"
"記号"	"。"
"名詞"	"先生"
"助詞"	"に"
"助詞"	"は"
"動詞"	"応える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"今"
"助詞"	"まで"
"名詞"	"物理"
"名詞"	"学校"
"助詞"	"で"
"名詞"	"毎日"
"名詞"	"先生"
"名詞"	"先生"
"助詞"	"と"
"動詞"	"呼びつける"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"先生"
"助詞"	"と"
"動詞"	"呼ぶ"
"名詞"	"の"
"助詞"	"と"
"記号"	"、"
"動詞"	"呼ぶ"
"動詞"	"れる"
"名詞"	"の"
"助詞"	"は"
"名詞"	"雲泥の差"
"助動詞"	"だ"
"記号"	"。"
"副詞"	"何だか"
"名詞"	"足"
"助詞"	"の"
"名詞"	"裏"
"助詞"	"が"
"副詞"	"むずむず"
"動詞"	"する"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"卑怯"
"助動詞"	"だ"
"名詞"	"人間"
"助詞"	"で"
"助詞"	"は"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"臆病"
"助動詞"	"だ"
"名詞"	"男"
"助詞"	"で"
"助詞"	"も"
"形容詞"	"ない"
"助詞"	"が"
"記号"	"、"
"形容詞"	"惜しい"
"名詞"	"事"
"助詞"	"に"
"名詞"	"胆力"
"助詞"	"が"
"動詞"	"欠ける"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"先生"
"助詞"	"と"
"連体詞"	"大きな"
"名詞"	"声"
"助詞"	"を"
"動詞"	"する"
"動詞"	"れる"
"助詞"	"と"
"記号"	"、"
"名詞"	"腹"
"助詞"	"の"
"動詞"	"減る"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"に"
"名詞"	"丸の内"
"助詞"	"で"
"名詞"	"午砲"
"助詞"	"を"
"動詞"	"聞く"
"助動詞"	"た"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"気"
"助詞"	"が"
"動詞"	"する"
"記号"	"。"
"名詞"	"最初"
"助詞"	"の"
"名詞"	"一"
"名詞"	"時間"
"助詞"	"は"
"副詞"	"何だか"
"形容詞"	"いい"
"名詞"	"加減"
"助詞"	"に"
"動詞"	"やる"
"助詞"	"て"
"動詞"	"しまう"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"しかし"
"副詞"	"別段"
"動詞"	"困る"
"助動詞"	"た"
"名詞"	"質問"
"助詞"	"も"
"動詞"	"掛ける"
"動詞"	"られる"
"助動詞"	"ぬ"
"助詞"	"に"
"動詞"	"済む"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"控"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"帰る"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"が"
"副詞"	"どう"
"名詞"	"だい"
"助詞"	"と"
"動詞"	"聞く"
"助動詞"	"た"
"記号"	"。"
"フィラー"	"うんと"
"名詞"	"単簡"
"助詞"	"に"
"名詞"	"返事"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"山嵐"
"助詞"	"は"
"名詞"	"安心"
"動詞"	"する"
"助動詞"	"た"
"助動詞"	"らしい"
"助動詞"	"た"
"記号"	"。"
"名詞"	"二"
"名詞"	"時間"
"名詞"	"目"
"助詞"	"に"
"名詞"	"白墨"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"名詞"	"控"
"名詞"	"所"
"助詞"	"を"
"動詞"	"出る"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"に"
"助詞"	"は"
"副詞"	"何だか"
"名詞"	"敵"
"名詞"	"地"
"助詞"	"へ"
"動詞"	"乗り込む"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"気"
"助詞"	"が"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"教場"
"助詞"	"へ"
"動詞"	"出る"
"助詞"	"と"
"名詞"	"今度"
"助詞"	"の"
"名詞"	"組"
"助詞"	"は"
"名詞"	"前"
"助詞"	"より"
"連体詞"	"大きな"
"名詞"	"奴"
"助詞"	"ばかり"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"江戸っ子"
"助詞"	"で"
"名詞"	"華奢"
"助詞"	"に"
"名詞"	"小作り"
"助詞"	"に"
"動詞"	"出来る"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"から"
"記号"	"、"
"副詞"	"どうも"
"形容詞"	"高い"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"上がる"
"助詞"	"て"
"助詞"	"も"
"動詞"	"押す"
"助詞"	"が"
"動詞"	"利く"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"喧嘩"
"助動詞"	"だ"
"名詞"	"相撲取"
"助詞"	"と"
"助詞"	"で"
"助詞"	"も"
"動詞"	"やる"
"助詞"	"て"
"動詞"	"みせる"
"助詞"	"が"
"記号"	"、"
"連体詞"	"こんな"
"接頭詞"	"大"
"名詞"	"僧"
"助詞"	"を"
"名詞"	"四"
"名詞"	"十"
"名詞"	"人"
"助詞"	"も"
"名詞"	"前"
"助詞"	"へ"
"動詞"	"並べる"
"助詞"	"て"
"記号"	"、"
"接続詞"	"ただ"
"名詞"	"一"
"名詞"	"枚"
"助詞"	"の"
"名詞"	"舌"
"助詞"	"を"
"動詞"	"たたく"
"助詞"	"て"
"名詞"	"恐縮"
"動詞"	"する"
"動詞"	"せる"
"名詞"	"手際"
"助詞"	"は"
"助動詞"	"ない"
"記号"	"。"
"接続詞"	"しかし"
"連体詞"	"こんな"
"名詞"	"田舎者"
"助詞"	"に"
"接頭詞"	"弱"
"名詞"	"身"
"助詞"	"を"
"動詞"	"見せる"
"助詞"	"と"
"名詞"	"癖"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"副詞"	"なるべく"
"連体詞"	"大きな"
"名詞"	"声"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"記号"	"、"
"副詞"	"少々"
"動詞"	"巻く"
"名詞"	"舌"
"助詞"	"で"
"名詞"	"講釈"
"動詞"	"する"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"最初"
"助詞"	"の"
"名詞"	"うち"
"助詞"	"は"
"記号"	"、"
"名詞"	"生徒"
"助詞"	"も"
"名詞"	"烟"
"助詞"	"に"
"動詞"	"捲く"
"動詞"	"れる"
"助詞"	"て"
"名詞"	"ぼんやり"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"それ"
"動詞"	"見る"
"助詞"	"と"
"副詞"	"ますます"
"名詞"	"得意"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"て"
"記号"	"、"
"名詞"	"べら"
"助詞"	"ん"
"名詞"	"めい"
"名詞"	"調"
"助詞"	"を"
"動詞"	"用いる"
"動詞"	"てる"
"助動詞"	"た"
"記号"	"、"
"名詞"	"一番"
"名詞"	"前"
"助詞"	"の"
"名詞"	"列"
"助詞"	"の"
"名詞"	"真中"
"助詞"	"に"
"動詞"	"居る"
"助動詞"	"た"
"記号"	"、"
"名詞"	"一番"
"形容詞"	"強い"
"名詞"	"そう"
"助動詞"	"だ"
"名詞"	"奴"
"助詞"	"が"
"記号"	"、"
"副詞"	"いきなり"
"名詞"	"起立"
"動詞"	"する"
"助詞"	"て"
"名詞"	"先生"
"助詞"	"と"
"動詞"	"云う"
"記号"	"。"
"感動詞"	"そら"
"動詞"	"来る"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"思う"
"助詞"	"ながら"
"記号"	"、"
"名詞"	"何"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"聞く"
"助動詞"	"た"
"記号"	"、"
"記号"	"「"
"副詞"	"あまり"
"形容詞"	"早い"
"助詞"	"て"
"名詞"	"分からん"
"動詞"	"ける"
"記号"	"、"
"副詞"	"もちっと"
"記号"	"、"
"副詞"	"ゆるゆる"
"動詞"	"遣う"
"助詞"	"て"
"記号"	"、"
"動詞"	"おくれる"
"助動詞"	"ん"
"助詞"	"か"
"助詞"	"な"
"記号"	"、"
"名詞"	"模試"
"記号"	"」"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"動詞"	"おくれる"
"助動詞"	"ん"
"助詞"	"か"
