"parts"	"mor"
"名詞"	"親譲り"
"助詞"	"の"
"名詞"	"無鉄砲"
"助詞"	"で"
"名詞"	"小供"
"助詞"	"の"
"名詞"	"時"
"助詞"	"から"
"名詞"	"損"
"助詞"	"ばかり"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"小学校"
"助詞"	"に"
"動詞"	"居る"
"名詞"	"時分"
"名詞"	"学校"
"助詞"	"の"
"名詞"	"二階"
"助詞"	"から"
"動詞"	"飛び降りる"
"助詞"	"て"
"名詞"	"一週間"
"助詞"	"ほど"
"名詞"	"腰"
"助詞"	"を"
"動詞"	"抜かす"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"記号"	"。"
"副詞"	"なぜ"
"連体詞"	"そんな"
"名詞"	"無闇"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"聞く"
"名詞"	"人"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"かも"
"動詞"	"知れる"
"助動詞"	"ぬ"
"記号"	"。"
"副詞"	"別段"
"形容詞"	"深い"
"名詞"	"理由"
"助詞"	"で"
"助詞"	"も"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"新築"
"助詞"	"の"
"名詞"	"二階"
"助詞"	"から"
"名詞"	"首"
"助詞"	"を"
"動詞"	"出す"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"、"
"名詞"	"同級生"
"助詞"	"の"
"名詞"	"一人"
"助詞"	"が"
"名詞"	"冗談"
"助詞"	"に"
"記号"	"、"
"副詞"	"いくら"
"動詞"	"威張る"
"助詞"	"て"
"助詞"	"も"
"記号"	"、"
"名詞"	"そこ"
"助詞"	"から"
"動詞"	"飛び降りる"
"名詞"	"事"
"助詞"	"は"
"動詞"	"出来る"
"助動詞"	"まい"
"記号"	"。"
"名詞"	"弱虫"
"助詞"	"や"
"名詞"	"ー"
"名詞"	"い"
"記号"	"。"
"助詞"	"と"
"動詞"	"囃す"
"助動詞"	"た"
"助詞"	"から"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"小使"
"助詞"	"に"
"動詞"	"負ぶさる"
"助詞"	"て"
"動詞"	"帰る"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"名詞"	"時"
"記号"	"、"
"名詞"	"おやじ"
"助詞"	"が"
"連体詞"	"大きな"
"名詞"	"眼"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"名詞"	"二"
"名詞"	"階"
"助詞"	"ぐらい"
"助詞"	"から"
"動詞"	"飛び降りる"
"助詞"	"て"
"名詞"	"腰"
"助詞"	"を"
"動詞"	"抜かす"
"名詞"	"奴"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"か"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"連体詞"	"この"
"名詞"	"次"
"助詞"	"は"
"動詞"	"抜かす"
"助動詞"	"ぬ"
"助詞"	"に"
"動詞"	"飛ぶ"
"助詞"	"で"
"動詞"	"見せる"
"助動詞"	"ます"
"助詞"	"と"
"動詞"	"答える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"親類"
"助詞"	"の"
"名詞"	"もの"
"助詞"	"から"
"名詞"	"西洋"
"名詞"	"製"
"助詞"	"の"
"名詞"	"ナイフ"
"助詞"	"を"
"動詞"	"貰う"
"助詞"	"て"
"名詞"	"奇麗"
"助動詞"	"だ"
"名詞"	"刃"
"助詞"	"を"
"名詞"	"日"
"助詞"	"に"
"動詞"	"翳す"
"助詞"	"て"
"記号"	"、"
"名詞"	"友達"
"助詞"	"に"
"動詞"	"見せる"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"、"
"名詞"	"一人"
"助詞"	"が"
"動詞"	"光る"
"名詞"	"事"
"助詞"	"は"
"動詞"	"光る"
"助詞"	"が"
"動詞"	"切れる"
"名詞"	"そう"
"助詞"	"も"
"形容詞"	"ない"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"動詞"	"切れる"
"助動詞"	"ぬ"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"か"
"記号"	"、"
"名詞"	"何"
"助詞"	"でも"
"動詞"	"切る"
"助詞"	"て"
"動詞"	"みせる"
"助詞"	"と"
"動詞"	"受け合う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"そん"
"助動詞"	"だ"
"名詞"	"君"
"助詞"	"の"
"名詞"	"指"
"助詞"	"を"
"動詞"	"切る"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"名詞"	"注文"
"動詞"	"する"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"感動詞"	"何だ"
"名詞"	"指"
"助詞"	"ぐらい"
"連体詞"	"この"
"名詞"	"通り"
"助動詞"	"だ"
"助詞"	"と"
"名詞"	"右"
"助詞"	"の"
"名詞"	"手"
"助詞"	"の"
"名詞"	"親指"
"助詞"	"の"
"名詞"	"甲"
"助詞"	"を"
"動詞"	"はする"
"助詞"	"に"
"動詞"	"切り込む"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"幸"
"名詞"	"ナイフ"
"助詞"	"が"
"形容詞"	"小さい"
"名詞"	"の"
"助詞"	"と"
"記号"	"、"
"名詞"	"親指"
"助詞"	"の"
"名詞"	"骨"
"助詞"	"が"
"形容詞"	"堅い"
"助動詞"	"た"
"助詞"	"ので"
"記号"	"、"
"名詞"	"今"
"助詞"	"だに"
"名詞"	"親指"
"助詞"	"は"
"名詞"	"手"
"助詞"	"に"
"動詞"	"付く"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"創痕"
"助詞"	"は"
"動詞"	"死ぬ"
"助詞"	"まで"
"動詞"	"消える"
"助動詞"	"ぬ"
"記号"	"。"
"名詞"	"庭"
"助詞"	"を"
"名詞"	"東"
"助詞"	"へ"
"名詞"	"二"
"名詞"	"十"
"名詞"	"歩"
"助詞"	"に"
"動詞"	"行く"
"動詞"	"尽す"
"助詞"	"と"
"記号"	"、"
"名詞"	"南"
"名詞"	"上がり"
"助詞"	"に"
"副詞"	"いささか"
"助詞"	"ばかり"
"助詞"	"の"
"名詞"	"菜園"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"て"
"記号"	"、"
"名詞"	"真中"
"助詞"	"に"
"名詞"	"栗"
"助詞"	"の"
"名詞"	"木"
"助詞"	"が"
"名詞"	"一"
"名詞"	"本"
"動詞"	"立つ"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"これ"
"助詞"	"は"
"名詞"	"命"
"助詞"	"より"
"名詞"	"大事"
"助動詞"	"だ"
"名詞"	"栗"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"実"
"助詞"	"の"
"名詞"	"熟"
"動詞"	"する"
"名詞"	"時分"
"助詞"	"は"
"名詞"	"起き抜け"
"助詞"	"に"
"名詞"	"背戸"
"助詞"	"を"
"名詞"	"出し手"
"動詞"	"落ちる"
"助動詞"	"た"
"名詞"	"奴"
"助詞"	"を"
"動詞"	"拾う"
"助詞"	"て"
"動詞"	"くる"
"助詞"	"て"
"記号"	"、"
"名詞"	"学校"
"助詞"	"で"
"動詞"	"食う"
"記号"	"。"
"名詞"	"菜園"
"助詞"	"の"
"名詞"	"西側"
"助詞"	"が"
"名詞"	"山城屋"
"助詞"	"という"
"名詞"	"質屋"
"助詞"	"の"
"名詞"	"庭"
"名詞"	"続き"
"助詞"	"で"
"記号"	"、"
"連体詞"	"この"
"名詞"	"質屋"
"助詞"	"に"
"名詞"	"勘太郎"
"助詞"	"という"
"名詞"	"十"
"名詞"	"三"
"名詞"	"四"
"助詞"	"の"
"名詞"	"倅"
"助詞"	"が"
"動詞"	"居る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"勘太郎"
"助詞"	"は"
"副詞"	"無論"
"名詞"	"弱虫"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"弱虫"
"助詞"	"の"
"名詞"	"癖"
"助詞"	"に"
"名詞"	"四つ目"
"名詞"	"垣"
"助詞"	"を"
"動詞"	"乗りこえる"
"助詞"	"て"
"記号"	"、"
"名詞"	"栗"
"助詞"	"を"
"動詞"	"盗む"
"助詞"	"に"
"動詞"	"くる"
"記号"	"。"
"名詞"	"ある日"
"助詞"	"の"
"名詞"	"夕方"
"名詞"	"折戸"
"助詞"	"の"
"名詞"	"蔭"
"助詞"	"に"
"動詞"	"隠れる"
"助詞"	"て"
"記号"	"、"
"副詞"	"とうとう"
"名詞"	"勘太郎"
"助詞"	"を"
"動詞"	"捕まえる"
