"parts"	"mor"
"連体詞"	"あくる"
"名詞"	"日"
"名詞"	"眼"
"助詞"	"が"
"動詞"	"覚める"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"記号"	"、"
"名詞"	"身体"
"名詞"	"中"
"形容詞"	"痛い"
"助詞"	"て"
"形容詞"	"たまらない"
"記号"	"。"
"形容詞"	"久しい"
"名詞"	"喧嘩"
"助詞"	"を"
"動詞"	"する"
"動詞"	"つける"
"助動詞"	"ない"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"副詞"	"こんなに"
"動詞"	"答える"
"名詞"	"ん"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"名詞"	"これ"
"助詞"	"じゃ"
"副詞"	"あんまり"
"名詞"	"自慢"
"助詞"	"も"
"動詞"	"できる"
"助動詞"	"ない"
"助詞"	"と"
"名詞"	"床"
"助詞"	"の"
"名詞"	"中"
"助詞"	"で"
"動詞"	"考える"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"と"
"記号"	"、"
"名詞"	"婆さん"
"助詞"	"が"
"名詞"	"四国新聞"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"動詞"	"くる"
"助詞"	"て"
"名詞"	"枕元"
"助詞"	"へ"
"動詞"	"置く"
"助詞"	"て"
"動詞"	"くれる"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"実は"
"名詞"	"新聞"
"助詞"	"を"
"動詞"	"見る"
"名詞"	"の"
"助詞"	"も"
"動詞"	"退る"
"名詞"	"儀"
"助動詞"	"だ"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"名詞"	"男"
"助詞"	"が"
"名詞"	"これしき"
"助詞"	"の"
"名詞"	"事"
"助詞"	"に"
"名詞"	"閉口"
"動詞"	"たれる"
"助詞"	"て"
"名詞"	"仕様"
"助詞"	"が"
"動詞"	"ある"
"名詞"	"もの"
"助詞"	"か"
"助詞"	"と"
"名詞"	"無理"
"助詞"	"に"
"名詞"	"腹這い"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"て"
"記号"	"、"
"動詞"	"寝る"
"助詞"	"ながら"
"記号"	"、"
"名詞"	"二"
"名詞"	"頁"
"助詞"	"を"
"動詞"	"開ける"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"名詞"	"驚"
"名詞"	"ろ"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"昨日"
"助詞"	"の"
"名詞"	"喧嘩"
"助詞"	"が"
"副詞"	"ちゃんと"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"喧嘩"
"助詞"	"の"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"いる"
"名詞"	"の"
"助詞"	"は"
"名詞"	"驚"
"名詞"	"ろか"
"形容詞"	"ない"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"名詞"	"中学"
"助詞"	"の"
"名詞"	"教師"
"名詞"	"堀田"
"名詞"	"某"
"助詞"	"と"
"記号"	"、"
"副詞"	"近頃"
"名詞"	"東京"
"助詞"	"から"
"名詞"	"赴任"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"生意気"
"助動詞"	"なり"
"名詞"	"某"
"助詞"	"と"
"助詞"	"が"
"記号"	"、"
"名詞"	"順良"
"助動詞"	"なり"
"名詞"	"生徒"
"助詞"	"を"
"名詞"	"使嗾"
"動詞"	"する"
"助詞"	"て"
"連体詞"	"この"
"名詞"	"騒動"
"助詞"	"を"
"名詞"	"喚起"
"動詞"	"せる"
"助詞"	"のみ"
"動詞"	"なる"
"助動詞"	"ぬ"
"記号"	"、"
"名詞"	"両人"
"助詞"	"は"
"名詞"	"現場"
"助詞"	"に"
"動詞"	"ある"
"助詞"	"て"
"名詞"	"生徒"
"助詞"	"を"
"名詞"	"指揮"
"動詞"	"する"
"助動詞"	"たり"
"名詞"	"上"
"記号"	"、"
"名詞"	"妄り"
"助詞"	"に"
"名詞"	"師範"
"名詞"	"生"
"助詞"	"に"
"動詞"	"向う"
"助詞"	"て"
"名詞"	"暴行"
"助詞"	"を"
"形容詞"	"ほしい"
"名詞"	"まま"
"助詞"	"に"
"動詞"	"する"
"助詞"	"たり"
"助詞"	"と"
"動詞"	"書く"
"助詞"	"て"
"記号"	"、"
"副詞"	"次に"
"連体詞"	"こんな"
"名詞"	"意見"
"助詞"	"が"
"名詞"	"附記"
"動詞"	"する"
"助詞"	"て"
"動詞"	"ある"
"記号"	"。"
"名詞"	"本県"
"助詞"	"の"
"名詞"	"中学"
"助詞"	"は"
"名詞"	"昔時"
"助詞"	"より"
"名詞"	"善良"
"名詞"	"温順"
"助詞"	"の"
"名詞"	"気風"
"助詞"	"を"
"動詞"	"もつ"
"助詞"	"て"
"名詞"	"全国"
"助詞"	"の"
"名詞"	"羨望"
"動詞"	"する"
"名詞"	"ところ"
"助動詞"	"だ"
"名詞"	"利子"
"助詞"	"が"
"記号"	"、"
"名詞"	"軽薄"
"助動詞"	"なり"
"名詞"	"二"
"名詞"	"豎子"
"助詞"	"の"
"名詞"	"ため"
"助詞"	"に"
"名詞"	"吾"
"名詞"	"校"
"助詞"	"の"
"名詞"	"特権"
"助詞"	"を"
"名詞"	"毀損"
"動詞"	"せる"
"動詞"	"れる"
"助詞"	"て"
"記号"	"、"
"連体詞"	"この"
"名詞"	"不面目"
"助詞"	"を"
"名詞"	"全市"
"助詞"	"に"
"動詞"	"受ける"
"助動詞"	"たり"
"名詞"	"以上"
"助詞"	"は"
"記号"	"、"
"名詞"	"吾"
"名詞"	"人"
"助詞"	"は"
"名詞"	"奮然"
"助詞"	"として"
"動詞"	"起る"
"助詞"	"て"
"連体詞"	"その"
"名詞"	"責任"
"助詞"	"を"
"動詞"	"問う"
"助動詞"	"ぬ"
"助詞"	"を"
"動詞"	"得る"
"助動詞"	"ぬ"
"記号"	"。"
"名詞"	"吾"
"名詞"	"人"
"助詞"	"は"
"動詞"	"信ずる"
"記号"	"、"
"名詞"	"吾"
"名詞"	"人"
"助詞"	"が"
"名詞"	"手"
"助詞"	"を"
"動詞"	"下す"
"名詞"	"前"
"助詞"	"に"
"記号"	"、"
"名詞"	"当局者"
"助詞"	"は"
"副詞"	"相当"
"助詞"	"の"
"名詞"	"処分"
"助詞"	"を"
"連体詞"	"この"
"名詞"	"無頼漢"
"助詞"	"の"
"名詞"	"上"
"助詞"	"に"
"動詞"	"加える"
"助詞"	"て"
"記号"	"、"
"名詞"	"彼等"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"副詞"	"再び"
"名詞"	"教育"
"名詞"	"界"
"助詞"	"に"
"名詞"	"足"
"助詞"	"を"
"動詞"	"入る"
"助動詞"	"り"
"名詞"	"余地"
"助動詞"	"だ"
"助詞"	"から"
"動詞"	"する"
"名詞"	"むる"
"名詞"	"事"
"助詞"	"を"
"記号"	"。"
"接続詞"	"そうして"
"名詞"	"一"
"名詞"	"字"
"名詞"	"ごと"
"助詞"	"に"
"名詞"	"みんな"
"名詞"	"黒点"
"助詞"	"を"
"動詞"	"加える"
"助詞"	"て"
"記号"	"、"
"接頭詞"	"お"
"名詞"	"灸"
"助詞"	"を"
"動詞"	"据える"
"助動詞"	"た"
"名詞"	"つもり"
"助詞"	"で"
"動詞"	"いる"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"床"
"助詞"	"の"
"名詞"	"中"
"助詞"	"で"
"記号"	"、"
"名詞"	"糞"
"助詞"	"でも"
"動詞"	"喰らう"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"ながら"
"記号"	"、"
"副詞"	"むっくり"
"動詞"	"飛び起きる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"不思議"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"に"
"名詞"	"今"
"助詞"	"まで"
"名詞"	"身体"
"助詞"	"の"
"名詞"	"関節"
"助詞"	"が"
"名詞"	"非常"
"助詞"	"に"
"形容詞"	"痛い"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"が"
"記号"	"、"
"動詞"	"飛び起きる"
"助詞"	"と"
"副詞"	"同時に"
"動詞"	"忘れる"
"助動詞"	"た"
"名詞"	"よう"
"助詞"	"に"
"形容詞"	"軽い"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"新聞"
"助詞"	"を"
"動詞"	"丸める"
"助詞"	"て"
"名詞"	"庭"
"助詞"	"へ"
"動詞"	"抛る"
"名詞"	"げ"
"動詞"	"つける"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"接続詞"	"それでも"
"副詞"	"まだ"
"動詞"	"気に入る"
"助動詞"	"ない"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"副詞"	"わざわざ"
"名詞"	"後架"
"助詞"	"へ"
"動詞"	"持つ"
"助詞"	"て"
"動詞"	"行く"
"助詞"	"て"
"動詞"	"棄てる"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"新聞"
"助詞"	"なんて"
"接頭詞"	"無"
"形容詞"	"暗い"
"助詞"	"な"
"名詞"	"嘘"
"助詞"	"を"
"動詞"	"吐く"
"名詞"	"もん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"世の中"
"助詞"	"に"
"名詞"	"何"
"助詞"	"が"
"名詞"	"一番"
"名詞"	"法螺"
"助詞"	"を"
"動詞"	"吹く"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"記号"	"、"
"名詞"	"新聞"
"助詞"	"ほど"
"助詞"	"の"
"名詞"	"法螺吹き"
"助詞"	"は"
"助動詞"	"ある"
"助動詞"	"まい"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"の"
"動詞"	"云う"
"助詞"	"て"
"動詞"	"しかる"
"助動詞"	"べし"
"名詞"	"事"
"助詞"	"を"
"名詞"	"みんな"
"動詞"	"向う"
"助詞"	"で"
"副詞"	"並べて"
"動詞"	"いやがる"
"記号"	"。"
"名詞"	"それ"
"助詞"	"に"
"名詞"	"近頃"
"名詞"	"東京"
"助詞"	"から"
"名詞"	"赴任"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"生意気"
"助動詞"	"だ"
"名詞"	"某"
"助詞"	"と"
"助詞"	"は"
"名詞"	"何"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"天下"
"助詞"	"に"
"名詞"	"某"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"名前"
"助詞"	"の"
"名詞"	"人"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"か"
"記号"	"。"
"動詞"	"考える"
"助詞"	"て"
"動詞"	"みる"
"記号"	"。"
"名詞"	"これ"
"助詞"	"でも"
"連体詞"	"れっきとした"
"名詞"	"姓"
"助詞"	"も"
"動詞"	"ある"
"名詞"	"名"
"助詞"	"も"
"動詞"	"ある"
"名詞"	"ん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"系図"
"助詞"	"が"
"動詞"	"見る"
"助動詞"	"たい"
"記号"	"、"
"名詞"	"多田満仲"
"名詞"	"以来"
"助詞"	"の"
"名詞"	"先祖"
"助詞"	"を"
"名詞"	"一人"
"動詞"	"残る"
"助動詞"	"ぬ"
"動詞"	"拝む"
"動詞"	"する"
"助詞"	"て"
"動詞"	"やる"
"感動詞"	"あ"
"記号"	"。"
"記号"	"――"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"洗う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"頬"
"副詞"	"ぺた"
"助詞"	"が"
"名詞"	"急"
"助詞"	"に"
"形容詞"	"痛い"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"婆さん"
"助詞"	"に"
"名詞"	"鏡"
"助詞"	"を"
"動詞"	"かす"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"けさの"
"名詞"	"新聞"
"助詞"	"を"
"接頭詞"	"お"
"動詞"	"見る"
"助動詞"	"た"
"助詞"	"か"
"助詞"	"な"
"名詞"	"模試"
"助詞"	"と"
"動詞"	"聞く"
"記号"	"。"
"動詞"	"読む"
"助詞"	"で"
"名詞"	"後架"
"助詞"	"へ"
"動詞"	"棄てる"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"欲しい"
"動詞"	"拾う"
"助詞"	"て"
"動詞"	"来る"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"動詞"	"驚く"
"助詞"	"て"
"動詞"	"引き下がる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"鏡"
"助詞"	"で"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"と"
"名詞"	"昨日"
"助詞"	"と"
"連体詞"	"同じ"
"名詞"	"よう"
"助詞"	"に"
"名詞"	"傷"
"助詞"	"が"
"動詞"	"つく"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"これ"
"助詞"	"でも"
"名詞"	"大事"
"助動詞"	"だ"
"名詞"	"顔"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"顔"
"助詞"	"へ"
"名詞"	"傷"
"助詞"	"まで"
"動詞"	"付ける"
"動詞"	"られる"
"助動詞"	"た"
"名詞"	"上"
"助詞"	"へ"
"名詞"	"生意気"
"助動詞"	"なり"
"名詞"	"某"
"助詞"	"など"
"助詞"	"と"
"記号"	"、"
"接頭詞"	"某"
"名詞"	"呼ばわり"
"助詞"	"を"
"動詞"	"する"
"動詞"	"れる"
"助詞"	"ば"
"名詞"	"たくさん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"今日"
"助詞"	"の"
"名詞"	"新聞"
"助詞"	"に"
"名詞"	"辟易"
"動詞"	"する"
"助詞"	"て"
"名詞"	"学校"
"助詞"	"を"
"動詞"	"休む"
"助動詞"	"だ"
"助詞"	"など"
"助詞"	"と"
"動詞"	"云う"
"動詞"	"れる"
"助詞"	"ちゃ"
"名詞"	"一生"
"助詞"	"の"
"名詞"	"名折れ"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"飯"
"助詞"	"を"
"動詞"	"食う"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"の"
"名詞"	"一"
"名詞"	"号"
"助詞"	"に"
"名詞"	"出頭"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"くる"
"名詞"	"奴"
"助詞"	"も"
"記号"	"、"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"くる"
"名詞"	"奴"
"助詞"	"も"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"て"
"動詞"	"笑う"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"何"
