"parts"	"mor"
"名詞"	"君"
"名詞"	"釣り"
"助詞"	"に"
"動詞"	"行く"
"助動詞"	"ます"
"助動詞"	"ん"
"助詞"	"か"
"助詞"	"と"
"名詞"	"赤シャツ"
"助詞"	"が"
"名詞"	"おれ"
"助詞"	"に"
"動詞"	"聞く"
"助動詞"	"た"
"記号"	"。"
"名詞"	"赤シャツ"
"助詞"	"は"
"名詞"	"気味"
"助詞"	"の"
"接頭詞"	"悪"
"名詞"	"るい"
"名詞"	"よう"
"助詞"	"に"
"形容詞"	"優しい"
"名詞"	"声"
"助詞"	"を"
"動詞"	"出す"
"名詞"	"男"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"副詞"	"まるで"
"名詞"	"男"
"助動詞"	"だ"
"助詞"	"か"
"名詞"	"女"
"助動詞"	"だ"
"助詞"	"か"
"動詞"	"分る"
"動詞"	"する"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"男なら"
"形容詞"	"男らしい"
"名詞"	"声"
"助詞"	"を"
"動詞"	"出す"
"名詞"	"もん"
"助動詞"	"だ"
"記号"	"。"
"副詞"	"ことに"
"名詞"	"大学"
"名詞"	"卒業生"
"助詞"	"じゃ"
"助動詞"	"ない"
"助詞"	"か"
"記号"	"。"
"名詞"	"物理"
"名詞"	"学校"
"助詞"	"で"
"助詞"	"さえ"
"名詞"	"おれ"
"助詞"	"くらい"
"助動詞"	"だ"
"名詞"	"声"
"助詞"	"が"
"動詞"	"出る"
"助詞"	"のに"
"記号"	"、"
"名詞"	"文学"
"名詞"	"士"
"助詞"	"が"
"名詞"	"これ"
"助詞"	"じゃ"
"動詞"	"見る"
"助詞"	"っと"
"助詞"	"も"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"副詞"	"そう"
"助動詞"	"です"
"助詞"	"なあ"
"助詞"	"と"
"副詞"	"少し"
"動詞"	"進む"
"助動詞"	"ない"
"名詞"	"返事"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"記号"	"、"
"名詞"	"君"
"名詞"	"釣"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"助動詞"	"ます"
"助詞"	"か"
"助詞"	"と"
"名詞"	"失敬"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"を"
"動詞"	"聞く"
"記号"	"。"
"副詞"	"あんまり"
"形容詞"	"ない"
"助詞"	"が"
"記号"	"、"
"名詞"	"子供"
"助詞"	"の"
"名詞"	"時"
"記号"	"、"
"名詞"	"小梅"
"助詞"	"の"
"名詞"	"釣堀"
"助詞"	"で"
"名詞"	"鮒"
"助詞"	"を"
"名詞"	"三"
"名詞"	"匹"
"動詞"	"釣る"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"記号"	"。"
"名詞"	"それ"
"助詞"	"から"
"名詞"	"神楽坂"
"助詞"	"の"
"名詞"	"毘沙門"
"助詞"	"の"
"名詞"	"縁日"
"助詞"	"で"
"名詞"	"八"
"名詞"	"寸"
"助詞"	"ばかり"
"助詞"	"の"
"名詞"	"鯉"
"助詞"	"を"
"名詞"	"針"
"助詞"	"で"
"動詞"	"引っかける"
"助詞"	"て"
"記号"	"、"
"動詞"	"しめる"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"、"
"副詞"	"ぽちゃり"
"助詞"	"と"
"動詞"	"落とす"
"助詞"	"て"
"動詞"	"しまう"
"助動詞"	"た"
"助詞"	"が"
"名詞"	"これ"
"助詞"	"は"
"名詞"	"今"
"動詞"	"考える"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"惜しい"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"赤シャツ"
"助詞"	"は"
"名詞"	"顋"
"助詞"	"を"
"名詞"	"前"
"助詞"	"の"
"名詞"	"方"
"助詞"	"へ"
"動詞"	"突き出す"
"助詞"	"て"
"名詞"	"ホホホホ"
"助詞"	"と"
"動詞"	"笑う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"何"
"助詞"	"も"
"副詞"	"そう"
"動詞"	"気取る"
"助詞"	"て"
"動詞"	"笑う"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"記号"	"、"
"形容詞"	"よい"
"名詞"	"さ"
"名詞"	"そう"
"助動詞"	"だ"
"名詞"	"者"
"助動詞"	"だ"
"記号"	"。"
"記号"	"「"
"名詞"	"それ"
"助詞"	"じゃ"
"記号"	"、"
"副詞"	"まだ"
"名詞"	"釣り"
"助詞"	"の"
"名詞"	"味"
"助詞"	"は"
"動詞"	"分る"
"助動詞"	"ん"
"助動詞"	"です"
"助詞"	"な"
"記号"	"。"
"接頭詞"	"お"
"名詞"	"望み"
"助動詞"	"だ"
"副詞"	"ちと"
"名詞"	"伝授"
"動詞"	"する"
"助動詞"	"ます"
"助動詞"	"う"
"記号"	"」"
"助詞"	"と"
"副詞"	"すこぶる"
"名詞"	"得意"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"だれ"
"助詞"	"が"
"接頭詞"	"ご"
"名詞"	"伝授"
"助詞"	"を"
"動詞"	"うける"
"名詞"	"もの"
"助詞"	"か"
"記号"	"。"
"名詞"	"一体"
"名詞"	"釣"
"助詞"	"や"
"名詞"	"猟"
"助詞"	"を"
"動詞"	"する"
"名詞"	"連中"
"助詞"	"は"
"名詞"	"みんな"
"名詞"	"不人情"
"助動詞"	"だ"
"名詞"	"人間"
"助詞"	"ばかり"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"不人情"
"助動詞"	"だ"
"助動詞"	"ない"
"助詞"	"て"
"記号"	"、"
"名詞"	"殺生"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"喜ぶ"
"名詞"	"訳"
"助詞"	"が"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"魚"
