"parts"	"mor"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"即夜"
"名詞"	"下宿"
"助詞"	"を"
"動詞"	"引き払う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"宿"
"助詞"	"へ"
"動詞"	"帰る"
"助詞"	"て"
"名詞"	"荷物"
"助詞"	"を"
"動詞"	"まとめる"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"と"
"記号"	"、"
"名詞"	"女房"
"助詞"	"が"
"名詞"	"何"
"助詞"	"か"
"名詞"	"不都合"
"助詞"	"でも"
"動詞"	"ござる"
"助動詞"	"ます"
"助動詞"	"た"
"助詞"	"か"
"記号"	"、"
"名詞"	"お腹"
"助詞"	"の"
"動詞"	"立つ"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"助動詞"	"だ"
"記号"	"、"
"動詞"	"云う"
"助詞"	"て"
"動詞"	"おくれる"
"助動詞"	"た"
"動詞"	"改める"
"助動詞"	"ます"
"助詞"	"と"
"動詞"	"云う"
"記号"	"。"
"副詞"	"どうも"
"名詞"	"驚"
"名詞"	"ろ"
"動詞"	"く"
"記号"	"。"
"名詞"	"世の中"
"助詞"	"に"
"助詞"	"は"
"副詞"	"どうして"
"記号"	"、"
"連体詞"	"こんな"
"名詞"	"要領"
"助詞"	"を"
"動詞"	"得る"
"助動詞"	"ない"
"名詞"	"者"
"助詞"	"ばかり"
"動詞"	"揃う"
"動詞"	"てる"
"名詞"	"ん"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"もらう"
"助動詞"	"たい"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"か"
"記号"	"、"
"動詞"	"居る"
"助詞"	"て"
"動詞"	"もらう"
"助動詞"	"たい"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"か"
"動詞"	"分る"
"動詞"	"する"
"助動詞"	"ない"
"記号"	"。"
"副詞"	"まるで"
"名詞"	"気狂い"
"助動詞"	"だ"
"記号"	"。"
"連体詞"	"こんな"
"名詞"	"者"
"助詞"	"を"
"名詞"	"相手"
"助詞"	"に"
"名詞"	"喧嘩"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"助詞"	"って"
"名詞"	"江戸っ子"
"助詞"	"の"
"名詞"	"名折れ"
