"parts"	"mor"
"名詞"	"野"
"助動詞"	"だ"
"助詞"	"は"
"名詞"	"大嫌い"
"助動詞"	"だ"
"記号"	"。"
"連体詞"	"こんな"
"名詞"	"奴"
"助詞"	"は"
"名詞"	"沢庵"
"名詞"	"石"
"助詞"	"を"
"動詞"	"つける"
"助詞"	"て"
"名詞"	"海の底"
"助詞"	"へ"
"動詞"	"沈める"
"動詞"	"ちまう"
"名詞"	"方"
"助詞"	"が"
"名詞"	"日本"
"助詞"	"の"
"名詞"	"ため"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"赤シャツ"
"助詞"	"は"
"名詞"	"声"
"助詞"	"が"
"名詞"	"気"
"助詞"	"に"
"動詞"	"食う"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"あれ"
"助詞"	"は"
"名詞"	"持前"
"助詞"	"の"
"名詞"	"声"
"助詞"	"を"
"副詞"	"わざと"
"動詞"	"気取る"
"助詞"	"て"
"連体詞"	"あんな"
"形容詞"	"優しい"
"名詞"	"よう"
"助詞"	"に"
"動詞"	"見せる"
"動詞"	"てる"
"名詞"	"ん"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"副詞"	"いくら"
"動詞"	"気取る"
"助詞"	"たって"
"記号"	"、"
"連体詞"	"あの"
"名詞"	"面"
"助詞"	"じゃ"
"名詞"	"駄目"
"助動詞"	"だ"
"記号"	"。"
"動詞"	"惚れる"
"名詞"	"もの"
"助詞"	"が"
"動詞"	"ある"
"助動詞"	"た"
"助詞"	"って"
"名詞"	"マドンナ"
"助詞"	"ぐらい"
"助動詞"	"だ"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"教頭"
"助詞"	"だけ"
"助詞"	"に"
"名詞"	"野"
"助動詞"	"だ"
"助詞"	"より"
"形容詞"	"むずかしい"
"名詞"	"事"
"助詞"	"を"
"動詞"	"云う"
"記号"	"。"
"名詞"	"うち"
"助詞"	"へ"
"動詞"	"帰る"
"助詞"	"て"
"記号"	"、"
"名詞"	"あいつ"
"助詞"	"の"
"動詞"	"申す"
"名詞"	"条"
"助詞"	"を"
"動詞"	"考える"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"副詞"	"一応"
"名詞"	"もっとも"
"助詞"	"の"
"名詞"	"よう"
"助動詞"	"だ"
"助詞"	"も"
"動詞"	"ある"
"記号"	"。"
"副詞"	"はっきり"
"助詞"	"と"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"は"
"動詞"	"云う"
"助動詞"	"ない"
"助詞"	"から"
"記号"	"、"
"名詞"	"見当"
"助詞"	"が"
"動詞"	"つく"
"動詞"	"かねる"
"助詞"	"が"
"記号"	"、"
"名詞"	"何"
"助詞"	"でも"
"名詞"	"山嵐"
"助詞"	"が"
"形容詞"	"よい"
"助動詞"	"ない"
"名詞"	"奴"
"助動詞"	"だ"
"助詞"	"から"
"名詞"	"用心"
"動詞"	"する"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"の"
"助動詞"	"らしい"
"記号"	"。"
"接続詞"	"それなら"
"副詞"	"そう"
"助詞"	"と"
"副詞"	"はっきり"
"名詞"	"断言"
"動詞"	"する"
"助詞"	"が"
"形容詞"	"いい"
"記号"	"、"
"形容詞"	"男らしい"
"助詞"	"も"
"形容詞"	"ない"
"記号"	"。"
"接続詞"	"そうして"
"記号"	"、"
"連体詞"	"そんな"
"接頭詞"	"悪"
"名詞"	"るい"
"名詞"	"教師"
"助動詞"	"だ"
"記号"	"、"
"形容詞"	"早い"
"名詞"	"免職"
"動詞"	"さす"
"助動詞"	"た"
"形容詞"	"よい"
"助動詞"	"う"
"記号"	"。"
"名詞"	"教頭"
"助詞"	"なんて"
"名詞"	"文学"
"名詞"	"士"
"助詞"	"の"
"名詞"	"癖"
"助詞"	"に"
"名詞"	"意気地"
"助詞"	"の"
"形容詞"	"ない"
"名詞"	"もん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"蔭"
"名詞"	"口"
"助詞"	"を"
"動詞"	"きく"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"さえ"
"記号"	"、"
"副詞"	"公然"
"助詞"	"と"
"名詞"	"名前"
"助詞"	"が"
"名詞"	"云"
"フィラー"	"え"
"形容詞"	"ない"
"助詞"	"くらい"
"助動詞"	"だ"
"名詞"	"男"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"弱虫"
"助詞"	"に"
